"input_search","acceptedScientificName","acceptedTaxonKey","basisOfRecord","coordinateUncertaintyInMeters","country","countryCode","datasetKey","degreeOfEstablishment","establishmentMeans","individualCount","institutionCode","occurrenceStatus","publishingOrgKey","scientificName","taxonKey","taxonomicStatus","taxonRank","year","occurrence_type","annualPET","aridityIndexThornthwaite","climaticMoistureIndex","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","lon","lat"
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,4,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"introduced",703.369140625,32.3323631286621,0.0864280015230179,15.1951398849487,121.54613494873,41202.57421875,28909.26171875,42.9735984802246,123.966400146484,6,12.2065877914429,40.9429397583008,4382.158203125,114.300659179688,114.300659179688,131.220001220703,5.9,51.85
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",8,"Ukraine","UA","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",863.80078125,59.0861778259277,-0.379737138748169,21.3424854278564,63.4744300842285,49370.11328125,30434.599609375,43.4474296569824,174.02799987793,6.87657165527344,19.092399597168,78.814094543457,4933.58984375,136.854629516602,19.5247764587402,156.128707885742,34.698665,44.802331
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",3535,"Switzerland","CH","83fdfd3d-3a25-4705-9fbe-3db1d1892b13",NA,NA,NA,NA,"PRESENT","64ee55c9-570a-42af-b7da-3f13c6b4e5a9","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",850.283813476562,35.2293548583984,0.102132000029087,18.6077003479004,120.722412109375,43672.57421875,31317.65625,38.8311996459961,135.283203125,5.99639987945557,17.4176845550537,79.7657012939453,4955.693359375,135.772476196289,50.4869575500488,122.746101379395,6.11068,46.20113
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,NA,667.880004882812,36.9342613220215,0.131735995411873,14.7868404388428,127.582901000977,43446.3203125,29929.662109375,49.2396011352539,132.934005737305,6,12.5386762619019,38.25537109375,4083.220703125,108.312980651855,19.3133964538574,152.231201171875,4.2,51.5
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"introduced",693.522644042969,37.2062759399414,0.119699999690056,14.7569599151611,126.03751373291,40766.671875,28458.76171875,47.8607978820801,123,6,12.4965476989746,40.2164001464844,4300.4580078125,113.212715148926,19.1126270294189,136.890808105469,5.3,51.8
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,50,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"introduced",707.109252929688,32.4651489257812,0.0762360021471977,15.225359916687,121.008338928223,41498.85546875,29122.59375,42.8800010681152,124.357200622559,6,12.2025279998779,41.2387428283691,4409.447265625,114.773162841797,114.773162841797,132.61360168457,5.95,51.85
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"introduced",640.399291992188,33.8267440795898,0.183835998177528,14.4501800537109,132.015548706055,41792.9453125,28812.271484375,50,129.973602294922,6,12.2157516479492,34.8467102050781,3949.91650390625,105.027481079102,36.8307838439941,147.727203369141,4.45,51.9
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"introduced",701.525451660156,33.4146041870117,0.0905640050768852,15.0630397796631,122.354057312012,41109.56640625,28801.833984375,44.439998626709,123.723602294922,6,12.2524919509888,40.7685279846191,4369.66357421875,114.112808227539,114.112808227539,133.376403808594,5.75,51.85
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",2,"Ukraine","UA","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",886.424194335938,63.7954330444336,-0.470400005578995,20.5214405059814,56.2367286682129,50891.26171875,30760.21875,50.3660011291504,170.221603393555,7,20.4495601654053,80.7761383056641,4929.912109375,138.281005859375,20.8101558685303,163.246002197266,33.51709,44.605115
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",3535,"Switzerland","CH","83fdfd3d-3a25-4705-9fbe-3db1d1892b13",NA,NA,NA,NA,"PRESENT","64ee55c9-570a-42af-b7da-3f13c6b4e5a9","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",810.959777832031,20.6277713775635,0.374123990535736,18.7468605041504,168.510894775391,45531.9921875,31502.34765625,46.3279991149902,150.873596191406,6.52279996871948,18.892183303833,18.892183303833,4502.404296875,126.133529663086,103.94994354248,135.682601928711,8.95216,45.88392
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",27,"Croatia","HR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,NA,814.007690429688,40.0027236938477,0.154582008719444,17.8169898986816,139.011901855469,61687.609375,61687.609375,79.1539993286133,194.856597900391,8,20.4770889282227,120.811576843262,4317.18115234375,123.445365905762,50.6870079040527,254.224594116211,13.600263,45.134167
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",4,"France","FR","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",804.263793945312,69.8294982910156,-0.226884007453918,13.8669004440308,107.706298828125,63185.3515625,63185.3515625,106.991203308105,185.605606079102,8.72360038757324,25.8706245422363,115.356414794922,3705.39599609375,104.227058410645,34.6047325134277,311.167205810547,8.97141,41.622056
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"introduced",693.236145019531,36.7814102172852,0.119435995817184,14.7621402740479,125.977638244629,40563.3828125,28330.080078125,47.2235984802246,122.440002441406,6,12.4599437713623,40.1094169616699,4300.03076171875,113.129188537598,19.1352310180664,135.417205810547,5.4,51.85
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"introduced",720.402099609375,31.7261486053467,0.0721919983625412,15.0915403366089,121.561958312988,42582.8515625,29608.42578125,50.7599983215332,127.70719909668,6,13.4564037322998,42.4899406433105,4401.76806640625,116.523712158203,116.523712158203,145.899993896484,5.7,50.95
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",3535,"Switzerland","CH","83fdfd3d-3a25-4705-9fbe-3db1d1892b13",NA,NA,NA,NA,"PRESENT","64ee55c9-570a-42af-b7da-3f13c6b4e5a9","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",813.77001953125,29.1028633117676,0.219916000962257,18.4241600036621,136.281524658203,35686.75390625,24420.62109375,28.6032009124756,122.031196594238,5.5,16.7262363433838,80.8440170288086,4747.7685546875,130.078964233398,31.8663120269775,84.7783966064453,6.11177,46.15616
"Lepidium graminifolium","Lepidium graminifolium L.",5376994,"HUMAN_OBSERVATION",31,"Montenegro","ME","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Lepidium graminifolium L.",5376994,"ACCEPTED","SPECIES",2025,"native",963.848388671875,55.1468887329102,0.353577792644501,17.8283004760742,194.640518188477,63201.2421875,61072.40625,94.8733367919922,187.091781616211,8.02000045776367,28.0787162780762,141.447952270508,4719.423828125,141.447952270508,27.4619636535645,264.787994384766,19.12997,42.060106
