"SPEC","STATUS","Longitude","Latitude"
1,"PRESENCE",34.698665,44.802331
1,"PRESENCE",4.84025,44.99902
1,"PRESENCE",-3.7512255,41.2988352
1,"PRESENCE",4.8422,44.94172
1,"PRESENCE",33.51709,44.605115
1,"PRESENCE",6.1744,46.24685
1,"PRESENCE",34.162004,44.518837
1,"PRESENCE",34.150659,44.520579
1,"PRESENCE",6.11068,46.20113
1,"PRESENCE",34.158272,44.534456
1,"PRESENCE",6.46071,44.50982
1,"PRESENCE",6.6893,46.52132
1,"PRESENCE",8.95216,45.88392
1,"PRESENCE",8.63693,42.12248
1,"PRESENCE",8.743458,42.564858
1,"PRESENCE",9.0486,41.50485
1,"PRESENCE",8.72696,42.5623
1,"PRESENCE",8.97141,41.622056
1,"PRESENCE",6.11177,46.15616
1,"PRESENCE",19.12997,42.060106
1,"PRESENCE",4.54915,43.65301
1,"PRESENCE",4.2256,43.72452
1,"PRESENCE",-1.78,42.26
1,"PRESENCE",-1.9,42.26
1,"PRESENCE",4.17111,43.72729
1,"PRESENCE",-3.181241,42.6788716
1,"PRESENCE",13.733211,45.577824
1,"PRESENCE",13.656872,45.534333
1,"PRESENCE",6.53571,43.6966
1,"PRESENCE",6.91961,43.86363
1,"PRESENCE",5.82953,43.12014
1,"PRESENCE",5.738617,43.228306
1,"PRESENCE",5.76542,43.23415
1,"PRESENCE",9.49633,42.54206
1,"PRESENCE",9.48743,42.56921
1,"PRESENCE",34.141182,44.487516
1,"PRESENCE",5.1012,44.34147
1,"PRESENCE",5.869615,44.289602
1,"PRESENCE",5.869094,44.290012
1,"PRESENCE",6.07868,44.43106
1,"PRESENCE",4.11744,43.71441
1,"PRESENCE",3.91819,43.6326
1,"PRESENCE",3.72595,43.50192
1,"PRESENCE",3.837591,43.629641
1,"PRESENCE",4.01648,43.67039
1,"PRESENCE",4.1828,43.9232
1,"PRESENCE",4.75252,44.28806
1,"PRESENCE",4.42436,43.7548
1,"PRESENCE",4.40507,43.87371
1,"PRESENCE",4.23262,43.8966
1,"PRESENCE",6.20264,43.71555
1,"PRESENCE",6.243677,43.77703
1,"PRESENCE",6.15899,43.61814
1,"PRESENCE",6.16893,43.79796
1,"PRESENCE",-2.799,42.628
1,"PRESENCE",6.76573,43.41865
1,"PRESENCE",6.017848,43.14162
1,"PRESENCE",6.64244,43.42287
1,"PRESENCE",6.03807,43.18384
1,"PRESENCE",6.65188,43.4286
1,"PRESENCE",3.858077,43.716565
1,"PRESENCE",3.60454,43.77749
1,"PRESENCE",3.8069,43.75103
1,"PRESENCE",3.62507,43.98896
1,"PRESENCE",3.71434,43.61194
1,"PRESENCE",6.94541,47.01748
1,"PRESENCE",7.66765,46.74846
1,"PRESENCE",7.53598,46.29887
1,"PRESENCE",6.94583,46.97251
1,"PRESENCE",6.78531,47.47387
1,"PRESENCE",6.55605,46.70029
1,"PRESENCE",6.88569,46.43249
1,"PRESENCE",4.73852,45.81126
1,"PRESENCE",4.82985,45.65218
