"voxel_id","lon","lat","PC1","PC2","PC3","bin_PC1","bin_PC2","bin_PC3"
"1_3_6",65.481758,57.16047,-4.63422264709951,-4.43806192722988,0.42225891742058,1,3,6
"1_3_6",65.594125,57.155242,-4.55430952586708,-4.48462484190076,0.464177755681666,1,3,6
"1_3_6",60.685177,56.858834,-3.93158219226373,-4.10942112897401,0.354377236392055,1,3,6
"1_3_6",61.965823,56.35581,-3.65669157174006,-4.62561138674138,0.394667066692756,1,3,6
"1_3_6",65.570438,57.168714,-4.54427454295352,-4.46369839690608,0.468635827988594,1,3,6
"2_3_6",61.501682,55.228615,-3.33809254739005,-5.21780278682538,0.173163941819815,2,3,6
"2_3_6",61.541092,55.164478,-3.34551515795568,-5.25926818279597,0.138339873232638,2,3,6
"2_3_6",61.4685,55.174,-3.42708509715101,-5.14730777065748,0.1505909942834,2,3,6
"2_3_6",51.624464,53.850095,-2.58878551616593,-4.95174677792086,0.294324851840567,2,3,6
"2_3_6",61.652211,55.115228,-3.28903806353931,-5.30864906958451,0.175080142869499,2,3,6
"3_1_5",57.188797,50.28901,-0.866651912686269,-7.84304862625947,-0.475198370350459,3,1,5
"3_1_5",57.189155,50.288871,-0.866651912686269,-7.84304862625947,-0.475198370350459,3,1,5
"3_1_5",102.857185,43.653312,-0.988839392110846,-7.6547216976019,-0.50085487821878,3,1,5
"3_1_5",57.188101,50.289209,-0.866651912686269,-7.84304862625947,-0.475198370350459,3,1,5
"3_1_5",66.905305,48.733783,-0.968383111191589,-7.0495085091871,-0.822432231462149,3,1,5
"2_2_5",80.838839,52.957468,-2.65856995655537,-6.61276980785597,-0.217972376364703,2,2,5
"2_2_5",81.394747,52.224157,-2.5667421995064,-6.55452891362973,-0.335071547061671,2,2,5
"2_2_5",91.628666,53.722593,-3.13556250290103,-6.49875275443127,-0.531817323021422,2,2,5
"2_2_5",59.016753,53.450088,-3.18521288329759,-6.27170223250868,-0.665758457919594,2,2,5
"2_2_5",91.709051,53.717802,-3.06517312215369,-6.53865450398981,-0.509111846582556,2,2,5
"1_2_6",80.983603,55.079171,-3.57225680448012,-5.93207592154476,-0.0977125987757906,1,2,6
"1_2_6",69.250808,55.822333,-3.67259959792991,-5.53265524145495,0.391732135811572,1,2,6
"1_2_6",77.837,55.335,-3.74760987911726,-5.90600965668597,0.0961901988065012,1,2,6
"1_2_6",83.11055,54.856464,-3.60742272490889,-5.49126756112185,-0.128034654867611,1,2,6
"1_2_6",68.831152,55.389085,-3.58227619492495,-5.69931992220949,0.315751626893769,1,2,6
"2_1_5",69.702676,50.499705,-1.79399515792302,-7.71639116795905,-0.400808422793527,2,1,5
"2_1_5",80.987951,51.329276,-2.04879053883278,-7.18831227284742,-0.402074397171724,2,1,5
"2_1_5",73.080906,49.907581,-2.08420912089953,-6.94173978576849,-0.350491083029899,2,1,5
"2_1_5",80.784502,51.495179,-2.15271528993728,-7.15877999502352,-0.407295975233008,2,1,5
"2_1_5",73.129002,49.769041,-2.02869145373374,-6.95536676237104,-0.350919571187593,2,1,5
"1_3_5",90.162534,54.704204,-4.52232361795148,-5.42865114549219,-0.881918269096752,1,3,5
"1_3_5",92.858958,55.992548,-4.83839306926907,-4.61500968705349,-0.683821101404982,1,3,5
"1_3_5",92.923742,56.061935,-4.47053383107592,-4.90688098037933,-0.560110255176069,1,3,5
"1_3_5",92.8802,56.0002,-4.51964580444793,-4.82620029261471,-0.577401903822159,1,3,5
"1_3_5",89.7286,55.0959,-4.81762527627216,-5.13344500897131,-0.876207422162652,1,3,5
"2_2_6",83.0626,54.8482,-3.43304313317585,-5.61336254667025,-0.0596337063055786,2,2,6
"2_2_6",62.184768,54.545243,-3.03566059039186,-5.77143356910431,0.144910656378806,2,2,6
"2_2_6",71.783783,51.081067,-2.38505007208715,-6.84875828380171,-0.010900101977413,2,2,6
"2_2_6",82.810327,54.9774,-3.49785112027178,-5.60255764119458,-0.0723834339293607,2,2,6
"2_2_6",82.82644,54.968884,-3.49785112027178,-5.60255764119458,-0.0723834339293607,2,2,6
