"input_search","acceptedScientificName","acceptedTaxonKey","basisOfRecord","coordinateUncertaintyInMeters","country","countryCode","datasetKey","degreeOfEstablishment","establishmentMeans","individualCount","institutionCode","occurrenceStatus","publishingOrgKey","scientificName","taxonKey","taxonomicStatus","taxonRank","year","occurrence_type","annualPET","aridityIndexThornthwaite","climaticMoistureIndex","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","lon","lat"
"Linaria arvensis","Linaria arvensis (L.) Desf.",5562956,"HUMAN_OBSERVATION",2,"Spain","ES","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Linaria arvensis (L.) Desf.",5562956,"ACCEPTED","SPECIES",2025,"native",1049.73828125,76.49755859375,-0.762039959430695,14.0565900802612,38.3654327392578,76145.8671875,76145.8671875,152.110794067383,209.562805175781,11.8199996948242,43.3071060180664,137.922714233398,3913.33422851562,126.935241699219,41.7052154541016,400.585205078125,-2.603081,36.804985
"Linaria arvensis","Linaria arvensis (L.) Desf.",5562956,"HUMAN_OBSERVATION",1888,"Spain","ES","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Linaria arvensis (L.) Desf.",5562956,"ACCEPTED","SPECIES",2025,"native",904.311401367188,47.9412574768066,-0.326088011264801,15.0961399078369,93.7256774902344,66646.21875,66646.21875,115.648803710938,194.145202636719,9.01920032501221,29.808931350708,30.1744632720947,4120.6201171875,113.332321166992,71.8147506713867,320.462005615234,1.898032,41.560778
"Linaria arvensis","Linaria arvensis (L.) Desf.",5562956,"HUMAN_OBSERVATION",15,"Spain","ES","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Linaria arvensis (L.) Desf.",5562956,"ACCEPTED","SPECIES",2025,"native",922.603393554688,54.8297004699707,-0.369619995355606,14.5690603256226,89.0767669677734,68859.6328125,68859.6328125,127.520797729492,193.750396728516,9.97000026702881,31.9059562683105,129.170440673828,4059.81079101562,116.372131347656,61.3996543884277,339.914794921875,3.112514,42.116982
"Linaria arvensis","Linaria arvensis (L.) Desf.",5562956,"HUMAN_OBSERVATION",295,"Spain","ES","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Linaria arvensis (L.) Desf.",5562956,"ACCEPTED","SPECIES",2025,"native",891.2490234375,44.9121971130371,-0.278939992189407,15.3600397109985,97.208366394043,61930.6640625,61930.6640625,103.696800231934,183.200393676758,8.6899995803833,28.7632522583008,28.7632522583008,4122.13818359375,113.224571228027,64.8996658325195,285.503997802734,1.707636,41.53098
"Linaria arvensis","Linaria arvensis (L.) Desf.",5562956,"HUMAN_OBSERVATION",9,"France","FR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Linaria arvensis (L.) Desf.",5562956,"ACCEPTED","SPECIES",2025,"native",1000.85845947266,61.4717407226562,-0.374891996383667,16.1299209594727,83.7283020019531,64453.16015625,64453.16015625,112.440002441406,176.489196777344,9,30.1583194732666,147.081497192383,4871.6611328125,147.081497192383,39.0732154846191,291.839202880859,3.012086,43.142758
"Linaria arvensis","Linaria arvensis (L.) Desf.",5562956,"HUMAN_OBSERVATION",31,"Spain","ES","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Linaria arvensis (L.) Desf.",5562956,"ACCEPTED","SPECIES",2025,"native",926.259826660156,54.2267303466797,-0.319328010082245,15.3962802886963,91.9756546020508,65181.15234375,65181.15234375,114.936401367188,185.932800292969,8.90999984741211,30.1394367218018,133.184616088867,4295.85498046875,125.071868896484,59.9418678283691,306.096405029297,2.979014,42.395256
"Linaria arvensis","Linaria arvensis (L.) Desf.",5562956,"HUMAN_OBSERVATION",31,"France","FR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Linaria arvensis (L.) Desf.",5562956,"ACCEPTED","SPECIES",2025,"native",1007.42303466797,60.2902412414551,-0.332763999700546,16.336540222168,87.499153137207,61955.30859375,61955.30859375,107.223602294922,168.003601074219,9,29.6509685516357,149.464141845703,4985,149.464141845703,38.7879219055176,271.920806884766,3.377589,43.465072
"Linaria arvensis","Linaria arvensis (L.) Desf.",5562956,"HUMAN_OBSERVATION",20,"Spain","ES","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Linaria arvensis (L.) Desf.",5562956,"ACCEPTED","SPECIES",2025,"native",1135.21228027344,74.8160629272461,-0.666899979114532,16.0289001464844,48.4302368164062,67495.8984375,67495.8984375,127.959197998047,181.602005004883,9.75360012054443,41.2399139404297,160.819580078125,4909.9658203125,147.657531738281,39.6445121765137,322.796813964844,-3.113065,36.781864
"Linaria arvensis","Linaria arvensis (L.) Desf.",5562956,"HUMAN_OBSERVATION",4,"Spain","ES","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Linaria arvensis (L.) Desf.",5562956,"ACCEPTED","SPECIES",2025,"native",1035.62109375,62.7325325012207,-0.581900000572205,17.1095008850098,55.6167221069336,61902.8984375,61902.8984375,101.248001098633,174.221603393555,7.72359991073608,33.921573638916,46.4560241699219,4886.26123046875,149.428695678711,64.7726821899414,264.772003173828,-0.155493,41.019833
"Linaria arvensis","Linaria arvensis (L.) Desf.",5562956,"HUMAN_OBSERVATION",8,"France","FR","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Linaria arvensis (L.) Desf.",5562956,"ACCEPTED","SPECIES",2025,"native",999.91796875,61.5691146850586,-0.311971992254257,16.4013195037842,89.4861450195312,60245.68359375,60245.68359375,102.857200622559,163.857192993164,8.44719982147217,28.9799289703369,148.975891113281,4990.89892578125,148.975891113281,38.1743392944336,259.497985839844,3.388288,43.515354
