"voxel_id","lon","lat","PC1","PC2","PC3","bin_PC1","bin_PC2","bin_PC3"
"4_4_9",1.898032,41.560778,-2.51954762119425,-1.68281637873437,1.88236438672636,4,4,9
"4_4_9",1.714162,41.557672,-1.7387832610858,-1.66179511247704,1.51885834070156,4,4,9
"4_4_9",1.68,41.54,-1.7387832610858,-1.66179511247704,1.51885834070156,4,4,9
"4_4_9",2.28,41.54,-2.57234940063752,-2.34780713927509,1.56729297924852,4,4,9
"4_4_9",1.707636,41.53098,-1.7387832610858,-1.66179511247704,1.51885834070156,4,4,9
"3_4_9",2.152047,41.446706,-3.08370444582568,-2.2467140993502,1.84334445410277,3,4,9
"3_4_9",3.178235,42.081697,-3.96044661300598,-2.31880621974069,1.70163725481671,3,4,9
"3_4_9",3.1088994,42.118924,-3.91083216761315,-1.97098195088158,1.5077737322821,3,4,9
"3_4_9",3.112514,42.116982,-3.91083216761315,-1.97098195088158,1.5077737322821,3,4,9
"3_4_9",2.2188915,41.4989013,-3.45154328050541,-2.3865269944032,1.8108322629911,3,4,9
"3_6_5",2.9387,43.03431,-3.80721412581669,0.418563486325139,-0.569100050425998,3,6,5
"3_6_5",3.04352,43.04636,-3.97956290619315,0.465697307974897,-0.513463307222283,3,6,5
"3_6_5",3.43472,43.31042,-3.74255494586557,0.51468896537717,-0.827220727176606,3,6,5
"3_6_5",3.02833,43.10477,-3.86353476219782,0.531455694204897,-0.649045933860009,3,6,5
"3_6_5",2.85578,43.02019,-3.21871165655366,0.175014825016386,-0.695679622542532,3,6,5
"3_5_7",3.03758,42.58976,-4.05824977472655,-0.168457641234561,0.571532850377938,3,5,7
"3_5_7",3.04507,42.58519,-4.05824977472655,-0.168457641234561,0.571532850377938,3,5,7
"3_5_7",3.034432,42.648907,-4.05824977472655,-0.168457641234561,0.571532850377938,3,5,7
"3_5_7",3.02647,42.63938,-4.05824977472655,-0.168457641234561,0.571532850377938,3,5,7
"3_5_7",2.99391,42.53616,-3.31574440746505,-0.58124223174807,0.291318330226339,3,5,7
"3_6_4",3.10837,43.30985,-3.71626531143337,0.720580596893726,-0.886905949208314,3,6,4
"3_6_4",3.43178,43.39326,-3.68950406212063,0.622667043346697,-0.907186398370009,3,6,4
"3_6_4",3.37323,43.45634,-3.49594598850115,0.739828664690274,-1.07414145440494,3,6,4
"3_6_4",3.238519,43.278505,-3.73285935584502,0.658995456287848,-0.872421775951388,3,6,4
"3_6_4",3.43381,43.66317,-3.17882313559319,1.01198331383031,-1.03895846612036,3,6,4
"1_7_7",-1.75,37.67,-6.36663030333774,2.19343381480562,0.315179199105136,1,7,7
"1_7_7",-1.4711181,37.618787,-6.75212483852026,1.84076701793277,0.569443606902477,1,7,7
"1_7_7",-3.112127,36.781748,-6.01045419841447,1.59862025227071,0.317452217127555,1,7,7
"1_7_7",-3.096103,36.785385,-6.01045419841447,1.59862025227071,0.317452217127555,1,7,7
"1_7_7",-3.1711378,36.8187562,-6.23892602116219,1.59615823876432,0.356551181270424,1,7,7
"3_7_7",-0.155493,41.019833,-3.25315190657798,2.18125301126985,0.681046115257717,3,7,7
"3_7_7",-1.15,39.24,-4.24768673194154,1.83127404198557,0.458897984742083,3,7,7
"3_7_7",-1.09,39.15,-3.80302801895315,1.90567065683878,0.276524912462873,3,7,7
"3_7_7",-0.93,39.45,-3.05002611297833,1.22664246248965,0.562221782741113,3,7,7
"3_7_7",-1.14,39.19,-4.24768673194154,1.83127404198557,0.458897984742083,3,7,7
"3_4_8",3.15175,42.46326,-3.1376206136749,-1.31965603064601,0.913579832308066,3,4,8
"3_4_8",3.12146,42.44443,-3.1376206136749,-1.31965603064601,0.913579832308066,3,4,8
"3_4_8",3.032951,42.358903,-3.19672527865323,-1.41256430398604,0.961491235565978,3,4,8
"3_4_8",3.128897,42.2789279,-3.56250174186732,-1.56009470603601,1.21927443097157,3,4,8
"3_4_8",3.10334,42.43915,-3.1376206136749,-1.31965603064601,0.913579832308066,3,4,8
"4_9_7",0.3288449,41.898891,-2.05160266936181,3.84667640885514,0.518885197467917,4,9,7
"4_9_7",0.1888419,41.9088898,-2.28241386864961,3.82473306643736,0.632000319263331,4,9,7
"4_9_7",0.188842,41.8988896,-2.28241386864961,3.82473306643736,0.632000319263331,4,9,7
"4_9_7",0.1788426,41.8588886,-2.28241386864961,3.82473306643736,0.632000319263331,4,9,7
"4_9_7",0.193623,41.906554,-2.28241386864961,3.82473306643736,0.632000319263331,4,9,7
