"SPEC","STATUS","Longitude","Latitude"
1,"PRESENCE",1.898032,41.560778
1,"PRESENCE",1.714162,41.557672
1,"PRESENCE",1.68,41.54
1,"PRESENCE",2.28,41.54
1,"PRESENCE",1.707636,41.53098
1,"PRESENCE",2.152047,41.446706
1,"PRESENCE",3.178235,42.081697
1,"PRESENCE",3.1088994,42.118924
1,"PRESENCE",3.112514,42.116982
1,"PRESENCE",2.2188915,41.4989013
1,"PRESENCE",2.9387,43.03431
1,"PRESENCE",3.04352,43.04636
1,"PRESENCE",3.43472,43.31042
1,"PRESENCE",3.02833,43.10477
1,"PRESENCE",2.85578,43.02019
1,"PRESENCE",3.03758,42.58976
1,"PRESENCE",3.04507,42.58519
1,"PRESENCE",3.034432,42.648907
1,"PRESENCE",3.02647,42.63938
1,"PRESENCE",2.99391,42.53616
1,"PRESENCE",3.10837,43.30985
1,"PRESENCE",3.43178,43.39326
1,"PRESENCE",3.37323,43.45634
1,"PRESENCE",3.238519,43.278505
1,"PRESENCE",3.43381,43.66317
1,"PRESENCE",-1.75,37.67
1,"PRESENCE",-1.4711181,37.618787
1,"PRESENCE",-3.112127,36.781748
1,"PRESENCE",-3.096103,36.785385
1,"PRESENCE",-3.1711378,36.8187562
1,"PRESENCE",-0.155493,41.019833
1,"PRESENCE",-1.15,39.24
1,"PRESENCE",-1.09,39.15
1,"PRESENCE",-0.93,39.45
1,"PRESENCE",-1.14,39.19
1,"PRESENCE",3.15175,42.46326
1,"PRESENCE",3.12146,42.44443
1,"PRESENCE",3.032951,42.358903
1,"PRESENCE",3.128897,42.2789279
1,"PRESENCE",3.10334,42.43915
1,"PRESENCE",0.3288449,41.898891
1,"PRESENCE",0.1888419,41.9088898
1,"PRESENCE",0.188842,41.8988896
1,"PRESENCE",0.1788426,41.8588886
1,"PRESENCE",0.193623,41.906554
1,"PRESENCE",2.31508,43.93186
1,"PRESENCE",2.19939,43.3012
1,"PRESENCE",2.97111,43.56023
1,"PRESENCE",3.06188,43.57404
1,"PRESENCE",2.97738,43.57221
1,"PRESENCE",-5.864561,41.520631
1,"PRESENCE",-5.49,40.89
1,"PRESENCE",-5.815488,41.715422
1,"PRESENCE",2.6028,42.76234
1,"PRESENCE",2.63944,42.76471
1,"PRESENCE",2.59057,42.76229
1,"PRESENCE",2.71369,42.56455
1,"PRESENCE",2.66374,42.79147
1,"PRESENCE",6.30041,43.32041
1,"PRESENCE",6.33999,43.24138
1,"PRESENCE",6.51997,43.278688
1,"PRESENCE",9.38891,42.9622
1,"PRESENCE",6.84748,43.45763
1,"PRESENCE",-3.6112116,40.6988241
1,"PRESENCE",-2.740438,37.169023
1,"PRESENCE",-2.47153,37.243453
1,"PRESENCE",-3.613208,40.725756
1,"PRESENCE",-2.77,36.86
1,"PRESENCE",-1.471175,40.9888527
1,"PRESENCE",-1.151208,41.206658
1,"PRESENCE",-1.4011714,40.8688508
1,"PRESENCE",-1.21,41.17
1,"PRESENCE",-3.090761,37.017869
1,"PRESENCE",5.88432,43.08566
1,"PRESENCE",6.158448,43.207722
1,"PRESENCE",6.161622,43.209472
1,"PRESENCE",6.13441,43.16868
1,"PRESENCE",-4.663666,40.656752
1,"PRESENCE",-3.140326,37.301135
1,"PRESENCE",-3.124758,37.31969
1,"PRESENCE",-3.771208,40.3288149
1,"PRESENCE",-4.409774,40.362662
1,"PRESENCE",-2.1211583,39.3088119
1,"PRESENCE",-7.919504,31.107994
1,"PRESENCE",-3.0172,37.07243
1,"PRESENCE",-3.342178,36.952081
1,"PRESENCE",-3.471267,40.93838
1,"PRESENCE",-2.551506,37.23663
1,"PRESENCE",2.25942,42.5442
1,"PRESENCE",2.28595,42.682
1,"PRESENCE",2.25118,42.55355
1,"PRESENCE",2.29938,42.57303
1,"PRESENCE",1.92338,42.47915
1,"PRESENCE",2.49585,42.76192
1,"PRESENCE",2.54607,42.69733
1,"PRESENCE",2.55714,42.73741
1,"PRESENCE",2.51782,42.68874
1,"PRESENCE",2.56686,42.69487
1,"PRESENCE",3.57213,45.10281
1,"PRESENCE",7.48197,47.97351
1,"PRESENCE",8.458117,50.074909
1,"PRESENCE",7.65124,48.39413
1,"PRESENCE",8.958137,50.124912
1,"PRESENCE",9.124805,50.674915
1,"PRESENCE",9.374814,51.724925
1,"PRESENCE",7.291417,49.674896
1,"PRESENCE",7.958107,49.17489
1,"PRESENCE",8.749992,50.856155
