"method","modelID","CAL","AUC","AUC_norm","CAL_norm","custom_weight"
"id_1__sp_SPEC__m_bioclim",1,0.832472532393359,0.776,0.776,0.873245661318128,0.844071962922689
"id_2__sp_SPEC__m_brt",2,0.72168285944464,0.928,0.928,0.757029693275102,0.808320785292571
"id_3__sp_SPEC__m_cart",3,0.953308523900109,0.907,0.907,1,0.9721
"id_4__sp_SPEC__m_domain.dismo",4,0.537185440862498,0.723,0.723,0.563495896024094,0.611347127216865
"id_5__sp_SPEC__m_fda",5,0.904996848162605,0.814,0.814,0.949322098222877,0.908725468756014
"id_6__sp_SPEC__m_glm",6,0.915411165089874,0.815,0.815,0.960246491182947,0.916672543828063
"id_7__sp_SPEC__m_glmnet",7,-0.0687881081240433,0.805,0.805,-0.0721572359833963,0.190989934811623
"id_8__sp_SPEC__m_mars",8,0.920863823010098,0.941,0.941,0.965966211277252,0.958476347894076
"id_10__sp_SPEC__m_mda",9,0.846454954599768,0.781,0.781,0.887912919457398,0.855839043620178
"id_12__sp_SPEC__m_rf",11,0.83232298608598,0.937,0.937,0.873088790479749,0.892262153335824
"id_13__sp_SPEC__m_rpart",12,0.94763841416616,1,1,0.994052177661486,0.99583652436304
"id_11__sp_SPEC__m_glmpoly",13,0.92081958302418,0.923,0.923,0.965919804489933,0.953043863142953
"id_14__sp_SPEC__m_svm",14,0.900135139150615,0.963,0.963,0.944222270737751,0.949855589516426
