"method","modelID","CAL","AUC","AUC_norm","CAL_norm","custom_weight"
"id_1__sp_SPEC__m_bioclim",1,-2.47067059592022,0.663,0.663,-3.78283004655224,-2.44908103258657
"id_2__sp_SPEC__m_brt",2,0.653127569971602,0.857,0.857,1,0.9571
"id_3__sp_SPEC__m_cart",3,0.380107101467857,0.769,0.769,0.581979874903128,0.638085912432189
"id_4__sp_SPEC__m_domain.dismo",4,-1.03546986891391,0.708,0.708,-1.58540217335938,-0.897381521351568
"id_5__sp_SPEC__m_fda",5,0.520723538025852,0.79,0.79,0.797276921028603,0.795093844720022
"id_6__sp_SPEC__m_glm",6,0.601471644600366,0.795,0.795,0.920909899158779,0.883136929411145
"id_7__sp_SPEC__m_glmnet",7,-2.13006620386072,0.788,0.788,-3.26133255093387,-2.04653278565371
"id_8__sp_SPEC__m_mars",8,0.287505037825853,0.84,0.84,0.44019736885147,0.560138158196029
"id_10__sp_SPEC__m_mda",9,0.174438598708158,0.786,0.786,0.267081971008731,0.422757379706111
"id_12__sp_SPEC__m_rf",11,0.431426453410845,0.827,0.827,0.660554650035066,0.710488255024546
"id_13__sp_SPEC__m_rpart",12,0.267408835249078,1,1,0.409428184543955,0.586599729180769
"id_11__sp_SPEC__m_glmpoly",13,0.218693764747852,0.843,0.843,0.334840810283603,0.487288567198522
"id_14__sp_SPEC__m_svm",14,0.358225953903788,0.87,0.87,0.54847777122525,0.644934439857675
