"method","modelID","CAL","AUC","AUC_norm","CAL_norm","custom_weight"
"id_1__sp_SPEC__m_bioclim",1,0.619628676460122,0.751,0.751,0.655038266975302,0.683826786882712
"id_2__sp_SPEC__m_brt",2,0.758681876024469,0.894,0.894,0.802037865800136,0.829626506060095
"id_3__sp_SPEC__m_cart",3,0.914513534012363,0.844,0.844,0.96677475269089,0.929942326883623
"id_4__sp_SPEC__m_domain.dismo",4,0.294072294566484,0.669,0.669,0.310877487624926,0.418314241337448
"id_5__sp_SPEC__m_fda",5,0.909122081846912,0.876,0.876,0.961075198075192,0.935552638652634
"id_6__sp_SPEC__m_glm",6,0.903427585957495,0.894,0.894,0.955055281856964,0.936738697299874
"id_7__sp_SPEC__m_glmnet",7,-1.58553965770174,0.891,0.891,-1.67614764948407,-0.906003354638849
"id_8__sp_SPEC__m_mars",8,0.945942714646752,0.931,0.931,1,0.9793
"id_10__sp_SPEC__m_mda",9,0.824004280082977,0.846,0.846,0.871093214551252,0.863565250185876
"id_12__sp_SPEC__m_rf",11,0.825546710430581,0.922,0.922,0.872723789345816,0.887506652542071
"id_13__sp_SPEC__m_rpart",12,0.914513534012363,1,1,0.96677475269089,0.976742326883623
"id_11__sp_SPEC__m_glmpoly",13,0.940468633947125,0.844,0.844,0.994213094921217,0.949149166444852
"id_14__sp_SPEC__m_svm",14,0.861151131011622,0.942,0.942,0.910362876818821,0.919854013773175
