"method","modelID","CAL","AUC","AUC_norm","CAL_norm","custom_weight"
"id_1__sp_SPEC__m_bioclim",1,0.826179218496823,0.658,0.658,0.900322539830579,0.827625777881405
"id_2__sp_SPEC__m_brt",2,0.754988175066953,0.979,0.979,0.822742639974728,0.869619847982309
"id_3__sp_SPEC__m_cart",3,0.917400072483003,0.979,0.979,0.999729773887832,0.993510841721483
"id_4__sp_SPEC__m_domain.dismo",4,0.609527174613871,0.91,0.91,0.664227617516898,0.737959332261829
"id_5__sp_SPEC__m_fda",5,0.813430316543741,0.913,0.913,0.886429520580672,0.89440066440647
"id_6__sp_SPEC__m_glm",6,0.836490975245798,0.935,0.935,0.911559698571081,0.918591788999757
"id_7__sp_SPEC__m_glmnet",7,0.492192006563059,0.913,0.913,0.536362507688599,0.649353755382019
"id_8__sp_SPEC__m_mars",8,0.870608336384336,0.978,0.978,0.948738834217282,0.957517183952098
"id_10__sp_SPEC__m_mda",9,0.756380789428466,0.933,0.933,0.824260230917335,0.856882161642135
"id_12__sp_SPEC__m_rf",11,0.822464323467721,0.977,0.977,0.896274261136412,0.920491982795488
"id_13__sp_SPEC__m_rpart",12,0.917648044946527,1,1,1,1
"id_11__sp_SPEC__m_glmpoly",13,0.81662419829281,0.971,0.971,0.889910029002891,0.914237020302024
"id_14__sp_SPEC__m_svm",14,0.822496327256038,0.979,0.979,0.896309137022099,0.921116395915469
