"method","modelID","CAL","AUC","AUC_norm","CAL_norm","custom_weight"
"id_1__sp_SPEC__m_bioclim",1,0.913367011799902,0.848,0.848,0.9873943154641,0.94557602082487
"id_2__sp_SPEC__m_brt",2,0.786568557311901,0.99,0.99,0.850318997926232,0.892223298548362
"id_3__sp_SPEC__m_cart",3,0.91749727604902,0.988,0.988,0.991859332689659,0.990701532882761
"id_4__sp_SPEC__m_domain.dismo",4,0.761332203536544,0.971,0.971,0.823037267867113,0.867426087506979
"id_5__sp_SPEC__m_fda",5,0.883990955729384,0.927,0.927,0.955637365191039,0.947046155633727
"id_6__sp_SPEC__m_glm",6,0.849209001341487,0.958,0.958,0.91803637500894,0.930025462506258
"id_7__sp_SPEC__m_glmnet",7,0.0356940057543733,0.951,0.951,0.0385869622207598,0.312310873554532
"id_8__sp_SPEC__m_mars",8,0.901026105266443,0.985,0.985,0.974053193219278,0.977337235253494
"id_10__sp_SPEC__m_mda",9,0.850173776595346,0.815,0.815,0.919079344142983,0.887855540900088
"id_12__sp_SPEC__m_rf",11,0.873655563346626,0.988,0.988,0.944464301619675,0.957525011133773
"id_13__sp_SPEC__m_rpart",12,0.925027618141185,1,1,1,1
"id_11__sp_SPEC__m_glmpoly",13,0.884661033767654,0.986,0.986,0.95636175225271,0.965253226576897
"id_14__sp_SPEC__m_svm",14,0.82397900863539,0.991,0.991,0.890761521576136,0.920833065103295
