"voxel_id","lon","lat","PC1","PC2","PC3","bin_PC1","bin_PC2","bin_PC3"
"5_5_8",9.208142,48.07489,-2.40925065019753,0.350202344960923,0.560602889961141,5,5,8
"5_5_8",8.833263,47.740753,-1.89363914706165,0.21238620664593,0.662545669204909,5,5,8
"5_5_8",10.291503,51.274938,-3.10473044136443,0.463157879370725,0.405292441509572,5,5,8
"5_5_8",11.124862,51.62495,-2.84373737700696,0.649334018789318,0.619398198157016,5,5,8
"5_5_8",9.791496,48.074899,-2.88229048198993,0.497699471561765,0.311185999942729,5,5,8
"5_5_9",8.188379,47.618046,-2.07591265256117,-0.273206074745048,0.91826415690824,5,5,9
"5_5_9",8.178706,47.637238,-2.07591265256117,-0.273206074745048,0.91826415690824,5,5,9
"6_7_7",10.208171,50.024922,-0.351781463636644,2.32685284450038,-0.189491278544621,6,7,7
"6_7_7",16.291353,47.999758,0.360405824709271,2.74425303822018,-0.579613840109632,6,7,7
"6_7_7",10.208173,49.924915,-0.288617809980696,2.26882826766852,-0.139596032859158,6,7,7
"6_7_7",10.374843,50.074922,-0.837258261672253,2.16867952461068,-0.211927523439247,6,7,7
"6_7_7",10.208173,50.124931,-0.835432420524291,2.20120013731802,-0.248283663984667,6,7,7
"4_3_7",7.2119,46.20872,-5.09649012336332,-1.5665179422458,-0.570134421836399,4,3,7
"4_3_7",7.01685,46.29812,-4.20943364890941,-1.52734324838061,-0.908381241631313,4,3,7
"4_3_7",7.01755,46.20816,-4.89025494840654,-1.76813320163414,-0.977745097362093,4,3,7
"4_3_7",7.0172,46.25314,-4.20943364890941,-1.52734324838061,-0.908381241631313,4,3,7
"4_3_7",7.08025,46.52323,-5.20621459521794,-1.74195154606219,-0.364084185073484,4,3,7
"6_4_6",5.75908,45.61071,-0.682773636597616,-0.981978317955193,-1.10927492929856,6,4,6
"6_4_6",6.01061,45.51415,-0.489092042727106,-1.07092505702266,-1.69507561688006,6,4,6
"6_4_6",6.20421,44.42748,-0.0859703697812387,-1.33885642351285,-1.68721334078826,6,4,6
"6_4_6",6.09668,44.50257,0.268214218705289,-1.18545673677969,-1.81239669144991,6,4,6
"6_4_6",6.14097,46.11888,-0.869627129176884,-1.20758767732191,-1.38471061299641,6,4,6
"7_4_6",5.89537,44.26143,2.22949265740204,-1.40391367042371,-1.27607699125598,7,4,6
"7_4_6",6.07868,44.43106,1.16498339515267,-1.31939363889025,-1.57001031279195,7,4,6
"7_4_6",5.70614,45.18403,1.57826492963514,-0.925689997305533,-1.24984021608895,7,4,6
"7_4_6",5.99086,44.37181,1.40227518299702,-1.40664998112431,-1.40387366546028,7,4,6
"7_4_6",5.72123,45.18221,1.57826492963514,-0.925689997305533,-1.24984021608895,7,4,6
"3_3_8",9.43394,46.73125,-5.49877293576816,-1.58291526171064,0.734889698877272,3,3,8
"8_6_5",35.246433,44.994778,3.60513905775747,0.853272177695272,-2.01422562095929,8,6,5
"8_6_5",36.2255,45.0344,3.10111525446104,0.932594701136512,-1.92913947628467,8,6,5
"8_6_5",35.196212,44.995506,3.60513905775747,0.853272177695272,-2.01422562095929,8,6,5
"8_6_5",35.2366,44.9987,3.60513905775747,0.853272177695272,-2.01422562095929,8,6,5
"8_10_1",69.88824,42.79177,3.96390963578486,5.67374583147813,-6.67412993438341,8,10,1
"8_8_6",47.226668,42.981232,3.17180103309748,3.76639713106787,-1.51956016119164,8,8,6
"8_8_6",33.194382,45.438291,3.87337348385863,2.87833441854774,-1.41004221324212,8,8,6
"8_10_6",40.822562,45.453836,3.41180455990951,4.87383489630495,-1.91490947989603,8,10,6
"8_10_6",40.808546,45.430627,3.41180455990951,4.87383489630495,-1.91490947989603,8,10,6
"8_10_6",40.807474,45.429001,3.41180455990951,4.87383489630495,-1.91490947989603,8,10,6
"3_3_7",7.14784,46.07364,-6.04648102202733,-2.02324393741226,-0.70807150667995,3,3,7
"7_10_4",43.32297,44.852703,2.32463810521811,5.74206559637835,-2.88922147897954,7,10,4
"8_7_6",32.5376,45.4463,2.84465089841655,2.53334537843149,-1.42602970007573,8,7,6
"8_7_6",47.967981,42.019734,3.22808052082315,2.46771113793402,-1.84682930804506,8,7,6
"4_3_8",8.16636,47.737846,-4.9032775933171,-1.60996222551851,0.86326689649176,4,3,8
"1_2_8",8.05562,46.34221,-9.48046279005499,-3.23957911307872,0.449306224743303,1,2,8
"1_2_8",8.05613,46.38719,-9.48046279005499,-3.23957911307872,0.449306224743303,1,2,8
"9_6_7",119.033624,32.217522,6.07785673950968,0.673511688696003,-0.0667171089081277,9,6,7
"8_10_4",43.446353,44.883305,2.56407848125697,5.88016400218812,-2.94146512879443,8,10,4
"8_8_5",47.410905,43.364555,4.29651907115178,3.49199672170249,-2.65831779104401,8,8,5
"7_5_6",37.466893,44.75922,1.88806912383531,-0.127518351777953,-1.77878851573736,7,5,6
"9_7_5",48.009822,42.106466,4.75862698672416,2.12734864707943,-2.6827112401191,9,7,5
"7_9_5",43.175638,44.145905,1.45534954608777,4.55619083697135,-2.26786691992535,7,9,5
"7_9_5",43.09522,44.063259,1.02648526461116,4.17064838241875,-2.06422687765835,7,9,5
"1_1_8",9.3016,46.6885,-10.4511205455772,-3.66647822459109,0.590528110056927,1,1,8
"8_2_7",5.74105,43.60549,4.03930046294962,-2.47142030987541,-0.476895768746817,8,2,7
"8_2_7",6.03523,43.62167,3.41891976604107,-2.89830584488231,-0.234224870231477,8,2,7
"8_2_7",6.04478,43.8015,2.71934179317562,-2.47369571481429,-0.722882900002384,8,2,7
"8_2_7",5.99524,43.68282,3.24846679925549,-2.5444899253692,-0.549723420209974,8,2,7
"8_2_7",5.78331,43.53838,3.69408267546142,-2.78046222673425,-0.244713152624387,8,2,7
"8_1_8",5.88881,43.17554,3.72589294577848,-3.73282455847607,0.613529056980649,8,1,8
"8_1_8",6.65386,43.60262,2.52485417780239,-3.81078460793471,0.381688866667076,8,1,8
"9_2_7",5.65554,43.45156,4.84037483545964,-2.67493489880473,-0.192526880748121,9,2,7
"5_2_9",1.95042,42.47743,-2.74066726481657,-2.58471578125241,1.4080554999524,5,2,9
"5_2_9",1.95049,42.4773,-2.74066726481657,-2.58471578125241,1.4080554999524,5,2,9
"7_3_6",5.1902,44.83249,0.565307656863809,-1.54006706810279,-1.48279801682133,7,3,6
"7_3_6",6.05439,43.98135,2.16671116117841,-2.16873412730637,-1.00499947914282,7,3,6
"7_3_6",6.18395,44.06773,1.73372839681003,-2.09422236336877,-1.07037050161774,7,3,6
"7_3_6",5.18915,44.18218,1.54467293993975,-1.704610933627,-1.12444864875539,7,3,6
"7_3_6",6.17893,43.9778,1.18089000750973,-2.38628170832838,-0.979953800140809,7,3,6
"9_3_7",13.872026,42.606037,5.92603663214087,-2.2511899370458,-0.509774931803824,9,3,7
"9_3_7",2.19055,43.93101,5.08854336036829,-2.07584005339629,-0.610078623423758,9,3,7
"9_3_7",5.39199,43.62196,4.50636165784285,-1.79559021633134,-0.488236511089301,9,3,7
"9_3_7",5.41623,43.63719,4.50636165784285,-1.79559021633134,-0.488236511089301,9,3,7
"9_3_7",2.8132,43.93384,5.03982310358248,-1.87561056243931,-0.899965461352205,9,3,7
"6_2_7",6.54127,43.78649,0.109877041981595,-3.07137283975919,-0.460882838391673,6,2,7
"7_2_7",6.16893,43.79796,2.27942675104564,-2.65437250870591,-0.629878132151761,7,2,7
"7_2_7",6.43656,43.7415,0.703600675419051,-3.14709904063676,-0.351467435704783,7,2,7
"7_2_7",136.093623,35.659456,0.936826397959379,-2.53463890872763,-0.152519628239124,7,2,7
"7_2_7",7.05021,43.94897,0.575823802785387,-3.33003762737426,-0.178102563547614,7,2,7
"7_2_7",6.17392,43.88788,0.697817568164206,-2.62311416892129,-0.855128615193791,7,2,7
"2_2_8",7.92493,46.25289,-8.05707868343175,-2.61514340233521,0.444337265820593,2,2,8
"6_3_6",5.32893,44.53952,-0.445350341385327,-1.77594904129193,-1.3957070203759,6,3,6
"6_3_6",6.25578,44.04718,0.00669084526940114,-2.37447856503122,-1.15410522117386,6,3,6
"6_3_6",6.12708,44.46776,0.0177341336752642,-1.51749122758667,-1.7093960918286,6,3,6
"6_3_6",6.05379,44.30575,0.480918208166712,-1.69817692588314,-1.38723110162853,6,3,6
"6_3_6",6.30867,44.06403,0.00669084526940114,-2.37447856503122,-1.15410522117386,6,3,6
"8_4_6",4.91674,44.74763,3.57967209350653,-1.0842673088888,-1.38387821134668,8,4,6
"8_4_6",4.46117,44.35435,3.87978672694608,-1.23390788021579,-1.20317173173328,8,4,6
"8_4_6",4.92747,44.74512,3.57967209350653,-1.0842673088888,-1.38387821134668,8,4,6
"8_4_6",4.99003,44.74877,3.57967209350653,-1.0842673088888,-1.38387821134668,8,4,6
"8_4_6",5.07068,44.36456,3.34246317852891,-1.283427777472,-1.22550173973748,8,4,6
"8_3_7",5.6593,43.88621,2.8019912051722,-1.83065200411161,-0.747953108452689,8,3,7
"8_3_7",5.80527,43.98803,2.7156390767151,-1.80819700044998,-0.772449068969742,8,3,7
"8_3_7",5.21445,43.76948,4.12998080320513,-1.58611752309249,-0.74436441230056,8,3,7
"8_3_7",5.27116,43.95648,2.9560505819211,-1.6193396143506,-0.921887575297587,8,3,7
"8_3_7",5.50603,43.81301,3.01680905818161,-1.88784061800162,-0.655384882196621,8,3,7
"8_1_9",2.93927,42.49481,3.43948751025494,-3.80485132307407,0.977785227359162,8,1,9
"8_1_9",2.98092,42.49971,3.43948751025494,-3.80485132307407,0.977785227359162,8,1,9
"8_1_9",-1.10665,45.68573,3.00992494821033,-4.36633548939836,1.21768382857208,8,1,9
