"SPEC","STATUS","Longitude","Latitude"
1,"PRESENCE",9.208142,48.07489
1,"PRESENCE",8.833263,47.740753
1,"PRESENCE",10.291503,51.274938
1,"PRESENCE",11.124862,51.62495
1,"PRESENCE",9.791496,48.074899
1,"PRESENCE",8.188379,47.618046
1,"PRESENCE",8.178706,47.637238
1,"PRESENCE",10.208171,50.024922
1,"PRESENCE",16.291353,47.999758
1,"PRESENCE",10.208173,49.924915
1,"PRESENCE",10.374843,50.074922
1,"PRESENCE",10.208173,50.124931
1,"PRESENCE",7.2119,46.20872
1,"PRESENCE",7.01685,46.29812
1,"PRESENCE",7.01755,46.20816
1,"PRESENCE",7.0172,46.25314
1,"PRESENCE",7.08025,46.52323
1,"PRESENCE",5.75908,45.61071
1,"PRESENCE",6.01061,45.51415
1,"PRESENCE",6.20421,44.42748
1,"PRESENCE",6.09668,44.50257
1,"PRESENCE",6.14097,46.11888
1,"PRESENCE",5.89537,44.26143
1,"PRESENCE",6.07868,44.43106
1,"PRESENCE",5.70614,45.18403
1,"PRESENCE",5.99086,44.37181
1,"PRESENCE",5.72123,45.18221
1,"PRESENCE",9.43394,46.73125
1,"PRESENCE",35.246433,44.994778
1,"PRESENCE",36.2255,45.0344
1,"PRESENCE",35.196212,44.995506
1,"PRESENCE",35.2366,44.9987
1,"PRESENCE",69.88824,42.79177
1,"PRESENCE",47.226668,42.981232
1,"PRESENCE",33.194382,45.438291
1,"PRESENCE",40.822562,45.453836
1,"PRESENCE",40.808546,45.430627
1,"PRESENCE",40.807474,45.429001
1,"PRESENCE",7.14784,46.07364
1,"PRESENCE",43.32297,44.852703
1,"PRESENCE",32.5376,45.4463
1,"PRESENCE",47.967981,42.019734
1,"PRESENCE",8.16636,47.737846
1,"PRESENCE",8.05562,46.34221
1,"PRESENCE",8.05613,46.38719
1,"PRESENCE",119.033624,32.217522
1,"PRESENCE",43.446353,44.883305
1,"PRESENCE",47.410905,43.364555
1,"PRESENCE",37.466893,44.75922
