"input_search","acceptedScientificName","acceptedTaxonKey","basisOfRecord","coordinateUncertaintyInMeters","country","countryCode","datasetKey","degreeOfEstablishment","establishmentMeans","individualCount","institutionCode","occurrenceStatus","publishingOrgKey","scientificName","taxonKey","taxonomicStatus","taxonRank","year","occurrence_type","annualPET","aridityIndexThornthwaite","climaticMoistureIndex","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","lon","lat"
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",648.330932617188,29.8633289337158,0.182464003562927,14.7738599777222,126.193298339844,37356.796875,22595.45703125,41.0228004455566,114.279998779297,5.00719976425171,10.9388475418091,36.1571846008301,4120.11376953125,107.581596374512,90.4891891479492,112.63200378418,6.5,53.2
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",654.16552734375,32.4576148986816,0.162200003862381,14.5957794189453,126.248092651367,38922.4296875,23149.80078125,44.5264015197754,118.112800598145,6,11.5843515396118,35.2536163330078,4134.52294921875,108.513618469238,91.5671920776367,125.276397705078,5.95,52.75
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex maritimus subsp. palustris (Sm.) Hook.fil.",11950958,"SYNONYM","SUBSPECIES",2025,NA,635.343505859375,32.7668228149414,0.204939991235733,14.2979602813721,133.442932128906,39886.65234375,23424.935546875,49.4472007751465,124.232002258301,6,11.9685716629028,32.6466178894043,3991.685546875,105.727661132812,36.7768630981445,138.723602294922,5.05,52.4
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",343,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,NA,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",557.461120605469,37.2008666992188,0.165936008095741,16.8211402893066,103.815162658691,28725.845703125,18089.294921875,22.4627990722656,129.772796630859,5,7.554123878479,29.4585971832275,3852.85473632812,97.4272003173828,78.6410217285156,71.6156005859375,13.36946,55.71648
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",50,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,NA,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,NA,565.508728027344,38.8905563354492,0.101090908050537,16.9316959381104,96.5032272338867,31714.08984375,18598.5546875,25.5884857177734,132.896362304688,5,7.75491523742676,30.2783946990967,3884.36889648438,98.4366302490234,79.4644012451172,78.6066665649414,12.99793,55.72771
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",657.336181640625,33.6893119812012,0.167464002966881,14.4376802444458,128.888961791992,39815.453125,23475.125,48.0527992248535,121.64640045166,6,12.0392637252808,35.3459815979004,4115.5380859375,108.649307250977,43.1756744384766,134.772796630859,5.35,52.4
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex maritimus subsp. palustris (Sm.) Hook.fil.",11950958,"SYNONYM","SUBSPECIES",2025,NA,633.230163574219,31.3602409362793,0.194600000977516,14.4723997116089,129.314086914062,39085.6328125,23129.568359375,46.4599990844727,122,6,11.5156803131104,32.6375579833984,4008.7958984375,105.560394287109,65.0850372314453,130.591995239258,5.55,52.75
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",674.921020507812,33.713924407959,0.133379995822906,14.7706804275513,124.565505981445,39340.51171875,23592.783203125,43.3856010437012,118.180000305176,6,11.7354602813721,37.5155143737793,4254.95849609375,111.369369506836,93.6688461303711,124.906799316406,6.05,52.45
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,NA,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",562.539184570312,38.6653594970703,0.120264001190662,16.8356399536133,98.6949081420898,30213.96484375,18424.1015625,24.7572002410889,131.693603515625,5,7.68424797058105,29.9977607727051,3869.9375,97.9877624511719,79.0999221801758,77.4316024780273,13.14819,55.73268
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",583.173645019531,33.3946571350098,0.261563986539841,14.1831798553467,137.576736450195,39881.23828125,23275.501953125,49.0900001525879,130.220001220703,6,11.5567436218262,61.3974456787109,3737.34155273438,98.0195770263672,35.0138092041016,141.869995117188,4.6,52.5
