"voxel_id","lon","lat","PC1","PC2","PC3","bin_PC1","bin_PC2","bin_PC3"
"2_5_6",5.85,52.65,-1.15888682497813,-1.14093953794067,0.815768903194838,2,5,6
"2_5_6",5.94607,52.71357,-1.2500155579306,-1.19035802460735,0.852029115751978,2,5,6
"2_5_6",6.4,53.05,-1.89952109684599,-1.08015220947691,0.999510068940806,2,5,6
"2_5_6",6.30278,52.89722,-1.43598602359422,-1.03921980513637,1.00493494707132,2,5,6
"2_5_6",5.92296,52.51708,-1.03692489966112,-0.966191186267018,0.863777324067059,2,5,6
"2_5_3",10.692048,54.742231,-2.39288213943452,-0.980664350248505,-1.41205503825515,2,5,3
"2_5_3",13.43504,55.72985,-3.14275381888497,-0.490135777515141,-1.30572854317468,2,5,3
"2_5_3",10.093076,55.192978,-2.88866540272312,-1.29651838610617,-1.081211967663,2,5,3
"2_5_3",9.912943,55.359979,-2.6503501518819,-1.16048112852299,-1.09378497441564,2,5,3
"2_5_3",10.070595,55.295411,-3.16133297456759,-1.29062436675894,-0.964743089772729,2,5,3
"3_5_5",4.153641,51.298876,0.220691382952369,-1.56814435256994,0.314334940090879,3,5,5
"3_5_5",4.1053,51.02595,0.494239390316739,-0.944811469503921,0.674322135774895,3,5,5
"3_5_5",4.05,51.25,0.223391906287075,-1.56179325943879,0.438445228107489,3,5,5
"3_5_5",3.50751,50.97816,0.231911405319211,-1.62910448401946,0.22456330956456,3,5,5
"3_5_5",4.361774,51.215073,0.310880444016899,-1.10396387076036,0.748006247702725,3,5,5
"2_6_3",13.09515,55.6096,-2.74897178113967,-0.254435156144611,-1.56970078844085,2,6,3
"2_6_3",12.99495,55.5919,-2.52057866899606,-0.0670535645501058,-1.72476754227161,2,6,3
"2_6_3",12.412362,55.627945,-1.68083486633338,0.305242813587759,-1.49977965173267,2,6,3
"2_6_3",13.163,55.63372,-2.74897178113967,-0.254435156144611,-1.56970078844085,2,6,3
"2_6_3",12.99836,55.58815,-2.52057866899606,-0.0670535645501058,-1.72476754227161,2,6,3
"3_4_5",3.79269,51.1023,0.22084904578061,-1.76859922381329,0.167029962608704,3,4,5
"3_4_5",4.75,52.5,-0.545693514372069,-2.7824433738809,0.206671660980225,3,4,5
"3_4_5",5.136794,52.313338,-0.831220657379882,-1.86869023656713,0.661363658192644,3,4,5
"3_4_5",4.24781,51.43326,0.106590369933854,-1.77736741229912,0.169282161488189,3,4,5
"3_4_5",4.74833,52.03447,-0.540561976455797,-2.12344372632252,0.49396341920813,3,4,5
"2_6_1",18.74846,57.44241,-3.06691699286183,0.375915750633511,-3.2166113470268,2,6,1
"2_6_1",18.88153,57.73577,-3.08389252360162,0.529120869302738,-3.20470793719938,2,6,1
"2_6_1",18.5729,57.55289,-3.04789160325462,0.400929328547837,-3.2357795055385,2,6,1
"2_6_1",18.67684,57.23025,-3.20941005725992,0.417002180059981,-3.31608525200889,2,6,1
"2_6_1",18.7009,57.27439,-3.03076608356492,0.376078803404928,-3.27103707597659,2,6,1
"2_4_5",5.85,53.15,-1.56551953316218,-2.2228945211851,0.421940552518429,2,4,5
"2_4_5",5.001386,52.442656,-1.01026618659771,-2.29192346919409,0.260010377631274,2,4,5
"2_4_5",5.964757,53.104606,-1.66122987648039,-1.8775991316954,0.690840340007702,2,4,5
"2_4_5",5.6,53.3,-1.75901191611729,-2.95007551433898,0.126712753065709,2,4,5
"2_4_5",5.05,52.5,-1.01026618659771,-2.29192346919409,0.260010377631274,2,4,5
"2_5_5",6.95,53.25,-1.52221615158882,-1.06662813467888,0.787819084536118,2,5,5
"2_5_5",9.374807,54.424966,-2.53877588465721,-1.0588123171665,0.677515671214336,2,5,5
"2_5_5",5.7,52.8,-1.36504201426651,-1.74165695411772,0.651991795680084,2,5,5
"2_5_5",5.77862,52.64937,-1.15774982996385,-1.25565011121204,0.774606222563405,2,5,5
"2_5_5",5.85,52.8,-1.3414062224075,-1.41466014646485,0.774280370722066,2,5,5
"2_7_1",16.40432,56.42202,-2.58929829733753,1.86270660697177,-2.6975723654657,2,7,1
"2_7_1",16.62472,56.5052,-2.5766244253201,1.90499748806359,-2.84483879453489,2,7,1
"2_7_1",16.40524,56.42274,-2.58929829733753,1.86270660697177,-2.6975723654657,2,7,1
"2_7_1",16.40502,56.41798,-2.58929829733753,1.86270660697177,-2.6975723654657,2,7,1
"2_7_1",16.88696,56.9491,-2.58364088486036,2.11277213848664,-3.08514373926099,2,7,1
"2_3_4",4.80123,52.91489,-1.51762119901292,-3.75546248895883,-0.865245112656288,2,3,4
