"SPEC","STATUS","Longitude","Latitude"
1,"PRESENCE",5.85,52.65
1,"PRESENCE",5.94607,52.71357
1,"PRESENCE",6.4,53.05
1,"PRESENCE",6.30278,52.89722
1,"PRESENCE",5.92296,52.51708
1,"PRESENCE",10.692048,54.742231
1,"PRESENCE",13.43504,55.72985
1,"PRESENCE",10.093076,55.192978
1,"PRESENCE",9.912943,55.359979
1,"PRESENCE",10.070595,55.295411
1,"PRESENCE",4.153641,51.298876
1,"PRESENCE",4.1053,51.02595
1,"PRESENCE",4.05,51.25
1,"PRESENCE",3.50751,50.97816
1,"PRESENCE",4.361774,51.215073
1,"PRESENCE",13.09515,55.6096
1,"PRESENCE",12.99495,55.5919
1,"PRESENCE",12.412362,55.627945
1,"PRESENCE",13.163,55.63372
1,"PRESENCE",12.99836,55.58815
1,"PRESENCE",3.79269,51.1023
1,"PRESENCE",4.75,52.5
1,"PRESENCE",5.136794,52.313338
1,"PRESENCE",4.24781,51.43326
1,"PRESENCE",4.74833,52.03447
1,"PRESENCE",18.74846,57.44241
1,"PRESENCE",18.88153,57.73577
1,"PRESENCE",18.5729,57.55289
1,"PRESENCE",18.67684,57.23025
1,"PRESENCE",18.7009,57.27439
1,"PRESENCE",5.85,53.15
1,"PRESENCE",5.001386,52.442656
1,"PRESENCE",5.964757,53.104606
1,"PRESENCE",5.6,53.3
1,"PRESENCE",5.05,52.5
1,"PRESENCE",6.95,53.25
1,"PRESENCE",9.374807,54.424966
1,"PRESENCE",5.7,52.8
1,"PRESENCE",5.77862,52.64937
1,"PRESENCE",5.85,52.8
1,"PRESENCE",16.40432,56.42202
1,"PRESENCE",16.62472,56.5052
1,"PRESENCE",16.40524,56.42274
1,"PRESENCE",16.40502,56.41798
1,"PRESENCE",16.88696,56.9491
1,"PRESENCE",4.80123,52.91489
1,"PRESENCE",4.95,53.25
1,"PRESENCE",5.00524,52.92422
1,"PRESENCE",4.82008,52.70888
1,"PRESENCE",5.2,53.35
1,"PRESENCE",19.22666,57.9449
1,"PRESENCE",19.28374,57.94717
1,"PRESENCE",19.24286,57.95174
1,"PRESENCE",19.25563,57.95274
1,"PRESENCE",19.24885,57.95248
1,"PRESENCE",11.271835,55.427578
1,"PRESENCE",11.270405,55.560966
1,"PRESENCE",11.245384,55.412599
1,"PRESENCE",11.843028,54.72832
1,"PRESENCE",11.26508,55.425472
1,"PRESENCE",12.98075,55.44802
1,"PRESENCE",12.96804,55.4356
1,"PRESENCE",12.156411,55.733205
1,"PRESENCE",12.95139,55.48413
1,"PRESENCE",12.123272,55.710559
1,"PRESENCE",11.041533,51.074947
1,"PRESENCE",14.37496,53.074989
1,"PRESENCE",15.00591,53.55748
1,"PRESENCE",14.208293,52.824998
1,"PRESENCE",14.374963,53.224998
1,"PRESENCE",11.802868,55.408156
1,"PRESENCE",11.694989,55.703467
1,"PRESENCE",10.874371,55.042459
1,"PRESENCE",11.748608,55.282211
1,"PRESENCE",11.462433,54.624415
1,"PRESENCE",11.933318,54.657755
1,"PRESENCE",7.874767,50.024896
1,"PRESENCE",9.541478,52.774944
1,"PRESENCE",10.001936,53.565346
1,"PRESENCE",7.624756,50.224906
1,"PRESENCE",9.208141,50.924922
1,"PRESENCE",9.208134,52.824944
1,"PRESENCE",7.31189,48.51256
1,"PRESENCE",7.291417,49.474886
1,"PRESENCE",9.041466,52.974944
1,"PRESENCE",9.374811,51.774928
1,"PRESENCE",-2.251128,52.372776
1,"PRESENCE",3.8,51.3
1,"PRESENCE",3.6032,51.22153
1,"PRESENCE",3.7,51.3
1,"PRESENCE",3.14577,50.92552
1,"PRESENCE",5.47166,50.94016
1,"PRESENCE",4.45461,51.07564
1,"PRESENCE",5.42238,50.96308
1,"PRESENCE",4.92141,51.33056
1,"PRESENCE",5.39304,51.24652
1,"PRESENCE",8.412731,55.629105
1,"PRESENCE",-1.527648,54.980711
1,"PRESENCE",-1.55003,54.96441
1,"PRESENCE",-1.486578,54.992299
1,"PRESENCE",4.98645,52.82123
1,"PRESENCE",8.291443,53.024928
1,"PRESENCE",6.7,52.5
1,"PRESENCE",8.374775,53.424938
1,"PRESENCE",8.54145,53.474944
1,"PRESENCE",6.6,52.55
1,"PRESENCE",9.097398,55.791779
1,"PRESENCE",9.302198,55.646594
1,"PRESENCE",9.001072,55.539017
1,"PRESENCE",9.114576,55.43591
1,"PRESENCE",9.300063,55.647956
1,"PRESENCE",8.151746,55.62409
1,"PRESENCE",12.124894,52.674973
1,"PRESENCE",13.708278,53.624998
1,"PRESENCE",11.791554,52.42496
1,"PRESENCE",14.124957,53.625005
1,"PRESENCE",11.458208,52.724963
1,"PRESENCE",6.10734,53.19904
1,"PRESENCE",6.08999,53.24604
1,"PRESENCE",6.1,53.2
1,"PRESENCE",6.08842,53.18986
1,"PRESENCE",9.541474,54.57497
1,"PRESENCE",2.84709,51.14232
1,"PRESENCE",2.94627,51.17052
1,"PRESENCE",2.80876,51.00696
1,"PRESENCE",2.29336,50.6954
1,"PRESENCE",3.05911,51.22576
1,"PRESENCE",13.624939,53.074989
1,"PRESENCE",10.791519,51.474944
1,"PRESENCE",11.082,53.1485
1,"PRESENCE",11.208198,52.174957
1,"PRESENCE",10.958188,53.224963
1,"PRESENCE",5.17359,51.00384
1,"PRESENCE",6.37472,51.774906
1,"PRESENCE",5.77391,51.05382
1,"PRESENCE",6.328323,52.16091
1,"PRESENCE",5.3863,50.94093
1,"PRESENCE",16.40407,56.41647
1,"PRESENCE",16.40396,56.41611
1,"PRESENCE",16.40425,56.41648
1,"PRESENCE",16.40413,56.41652
1,"PRESENCE",16.40431,56.41654
1,"PRESENCE",13.124924,52.524976
1,"PRESENCE",15.55143,51.18665
1,"PRESENCE",14.541637,51.924989
1,"PRESENCE",12.624914,51.87497
1,"PRESENCE",14.041621,52.674995
1,"PRESENCE",12.958254,52.224976
1,"PRESENCE",14.208293,51.774986
1,"PRESENCE",13.2916,52.224976
1,"PRESENCE",13.624939,52.324986
1,"PRESENCE",13.541603,52.474986
1,"PRESENCE",13.708269,54.075002
1,"PRESENCE",12.5818,53.4485
1,"PRESENCE",13.2484,53.6485
1,"PRESENCE",12.7484,53.8485
1,"PRESENCE",17.37,54.67
1,"PRESENCE",18.80416,54.08785
1,"PRESENCE",15.609355,58.359045
1,"PRESENCE",15.6281,58.41645
1,"PRESENCE",15.11482,58.34499
1,"PRESENCE",15.61384,58.41051
1,"PRESENCE",10.374843,49.524925
1,"PRESENCE",8.791463,50.524918
1,"PRESENCE",10.624855,49.324925
1,"PRESENCE",9.541485,49.924915
1,"PRESENCE",12.291571,49.874944
1,"PRESENCE",9.208243,56.412341
1,"PRESENCE",9.323417,56.365483
1,"PRESENCE",9.562018,55.864421
1,"PRESENCE",9.780627,56.764468
1,"PRESENCE",13.49322,55.63305
1,"PRESENCE",13.50823,55.67644
1,"PRESENCE",13.51258,55.71066
1,"PRESENCE",13.5289,55.70378
1,"PRESENCE",0.752554,52.484866
1,"PRESENCE",0.866711,52.428196
1,"PRESENCE",1.154009,52.33094
1,"PRESENCE",1.007469,52.334765
1,"PRESENCE",0.445878,52.79733
1,"PRESENCE",14.928267,55.159745
1,"PRESENCE",12.01291,57.74845
1,"PRESENCE",12.01262,57.75199
1,"PRESENCE",12.01343,57.75152
1,"PRESENCE",12.01253,57.75203
1,"PRESENCE",14.624976,52.274998
1,"PRESENCE",14.62497,52.524998
1,"PRESENCE",14.541637,52.374992
1,"PRESENCE",14.624968,52.574992
1,"PRESENCE",14.541635,52.424995
1,"PRESENCE",11.082,53.4485
1,"PRESENCE",10.958193,51.77495
1,"PRESENCE",11.541542,53.624973
1,"PRESENCE",11.124858,53.424966
1,"PRESENCE",11.874885,53.32497
1,"PRESENCE",21.74119,50.69861
1,"PRESENCE",21.74749,50.69265
1,"PRESENCE",17.59418,52.54277
1,"PRESENCE",18.59934,53.01334
1,"PRESENCE",21.77588,50.67157
1,"PRESENCE",8.80225,56.78161
1,"PRESENCE",5.70153,53.45526
1,"PRESENCE",-2.658091,53.116008
1,"PRESENCE",2.78852,50.59191
1,"PRESENCE",2.73609,50.54458
1,"PRESENCE",-0.636472,51.376116
1,"PRESENCE",-0.016223,51.76293
1,"PRESENCE",2.82662,50.51251
1,"PRESENCE",8.56131,56.95259
1,"PRESENCE",10.708179,54.224973
1,"PRESENCE",7.208081,50.074893
1,"PRESENCE",10.458177,53.924966
1,"PRESENCE",7.291414,50.374899
1,"PRESENCE",10.124831,53.92496
1,"PRESENCE",11.624879,51.87495
1,"PRESENCE",11.791554,51.57496
1,"PRESENCE",11.624882,51.77496
1,"PRESENCE",11.624876,52.124963
1,"PRESENCE",11.874888,52.174966
1,"PRESENCE",2.85797,50.49535
1,"PRESENCE",-0.373337,52.307906
1,"PRESENCE",2.87555,50.42887
1,"PRESENCE",3.05975,50.34282
1,"PRESENCE",-0.465653,52.183265
1,"PRESENCE",-0.24681,52.539864
1,"PRESENCE",0.482938,52.444525
1,"PRESENCE",-0.252514,52.396092
1,"PRESENCE",0.516082,52.341761
1,"PRESENCE",0.2915,52.300023
1,"PRESENCE",-4.397116,54.403133
1,"PRESENCE",-4.378819,54.393157
1,"PRESENCE",-0.410587,54.282596
1,"PRESENCE",-2.768415,53.395354
1,"PRESENCE",-2.939038,51.560118
1,"PRESENCE",-3.083265,51.558875
1,"PRESENCE",-2.785722,51.32701
1,"PRESENCE",-4.19506,55.80016
1,"PRESENCE",-3.394828,52.206487
1,"PRESENCE",-5.035708,54.910226
1,"PRESENCE",-3.206878,51.50682
1,"PRESENCE",-2.678479,53.413877
1,"PRESENCE",-3.223936,51.559739
1,"PRESENCE",-2.708267,53.395726
1,"PRESENCE",-2.678765,53.431853
1,"PRESENCE",-3.197772,52.044649
1,"PRESENCE",-2.661568,55.683196
1,"PRESENCE",-2.717473,55.69636
1,"PRESENCE",-2.531862,53.720226
1,"PRESENCE",-2.470847,53.684529
1,"PRESENCE",-3.822219,51.999328
1,"PRESENCE",-2.440379,53.666668
1,"PRESENCE",-2.53073,53.630349
1,"PRESENCE",1.891337,41.54517
1,"PRESENCE",23.213577,41.256626
