"input_search","acceptedScientificName","acceptedTaxonKey","basisOfRecord","coordinateUncertaintyInMeters","country","countryCode","datasetKey","degreeOfEstablishment","establishmentMeans","individualCount","institutionCode","occurrenceStatus","publishingOrgKey","scientificName","taxonKey","taxonomicStatus","taxonRank","year","occurrence_type","lon","lat"
"Soldanella minima","Soldanella minima Hoppe",8109831,"HUMAN_OBSERVATION",4,"Slovenia","SI","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima Hoppe",8109831,"ACCEPTED","SPECIES",2025,"native",13.902763,46.348295
"Soldanella minima","Soldanella minima subsp. minima",7900159,"HUMAN_OBSERVATION",NA,"Slovenia","SI","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima subsp. minima",7900159,"ACCEPTED","SUBSPECIES",2025,"native",13.743036,46.432952
"Soldanella minima","Soldanella minima subsp. minima",7900159,"HUMAN_OBSERVATION",31,"Italy","IT","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima subsp. minima",7900159,"ACCEPTED","SUBSPECIES",2025,"native",11.199721,45.775121
"Soldanella minima","Soldanella minima Hoppe",8109831,"HUMAN_OBSERVATION",1497,"Austria","AT","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima Hoppe",8109831,"ACCEPTED","SPECIES",2025,"native",13.952222,46.506943
"Soldanella minima","Soldanella minima Hoppe",8109831,"HUMAN_OBSERVATION",276,"Italy","IT","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima Hoppe",8109831,"ACCEPTED","SPECIES",2025,"native",11.786737,46.530925
"Soldanella minima","Soldanella minima subsp. minima",7900159,"HUMAN_OBSERVATION",NA,"Italy","IT","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima subsp. minima",7900159,"ACCEPTED","SUBSPECIES",2025,"native",12.242644,46.124608
"Soldanella minima","Soldanella minima subsp. minima",7900159,"HUMAN_OBSERVATION",NA,"Italy","IT","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima subsp. minima",7900159,"ACCEPTED","SUBSPECIES",2025,"native",11.509158,46.011307
"Soldanella minima","Soldanella minima subsp. minima",7900159,"HUMAN_OBSERVATION",15,"Italy","IT","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima subsp. minima",7900159,"ACCEPTED","SUBSPECIES",2025,"native",11.20974,45.782868
"Soldanella minima","Soldanella minima subsp. minima",7900159,"HUMAN_OBSERVATION",NA,"Italy","IT","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima subsp. minima",7900159,"ACCEPTED","SUBSPECIES",2025,"native",11.508882,46.011
"Soldanella minima","Soldanella minima subsp. minima",7900159,"HUMAN_OBSERVATION",2666,"Slovenia","SI","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima subsp. minima",7900159,"ACCEPTED","SUBSPECIES",2025,"native",14.543309,46.372746
"Soldanella minima","Soldanella minima subsp. minima",7900159,"HUMAN_OBSERVATION",4,"Italy","IT","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima subsp. minima",7900159,"ACCEPTED","SUBSPECIES",2025,"native",13.6871,46.466508
"Soldanella minima","Soldanella minima Hoppe",8109831,"HUMAN_OBSERVATION",4,"Slovenia","SI","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Soldanella minima Hoppe",8109831,"ACCEPTED","SPECIES",2025,"native",13.742368,46.441856
"Soldanella minima","Soldanella minima Hoppe",8109831,"HUMAN_OBSERVATION",4,"Slovenia","SI","8a863029-f435-446a-821e-275f4f641165",NA,NA,5,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Soldanella minima Hoppe",8109831,"ACCEPTED","SPECIES",2025,"native",13.74211,46.441176
"Soldanella minima","Soldanella minima Hoppe",8109831,"HUMAN_OBSERVATION",NA,"Slovenia","SI","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Soldanella minima Hoppe",8109831,"ACCEPTED","SPECIES",2025,"native",14.74252,46.417244
"Soldanella minima","Soldanella minima subsp. minima",7900159,"HUMAN_OBSERVATION",NA,"Austria","AT","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima subsp. minima",7900159,"ACCEPTED","SUBSPECIES",2025,"native",14.768108,46.502278
"Soldanella minima","Soldanella minima Hoppe",8109831,"HUMAN_OBSERVATION",10,"Slovenia","SI","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima Hoppe",8109831,"ACCEPTED","SPECIES",2025,"native",13.841063,46.244728
"Soldanella minima","Soldanella minima subsp. minima",7900159,"HUMAN_OBSERVATION",14,"Italy","IT","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima subsp. minima",7900159,"ACCEPTED","SUBSPECIES",2025,"native",11.132892,45.725003
"Soldanella minima","Soldanella minima Hoppe",8109831,"HUMAN_OBSERVATION",8,"Slovenia","SI","50c9509d-22c7-4a22-a47d-8c48425ef4a7",NA,NA,NA,"iNaturalist","PRESENT","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Soldanella minima Hoppe",8109831,"ACCEPTED","SPECIES",2025,"native",14.646344,46.300678
