"voxel_id","lon","lat","PC1","PC2","PC3","bin_PC1","bin_PC2","bin_PC3"
"4_1_5",13.902763,46.348295,-0.640201252344234,-1.48746221019731,0.587475683992334,4,1,5
"5_1_4",14.588239,46.379336,0.391222078182625,-1.74780732919393,0.108912233335326,5,1,4
"5_1_4",14.543309,46.372746,0.434091688199126,-1.72840205063751,0.111753064988265,5,1,4
"5_1_4",14.535592,46.369036,0.434091688199126,-1.72840205063751,0.111753064988265,5,1,4
"5_1_4",14.536434,46.353518,0.434091688199126,-1.72840205063751,0.111753064988265,5,1,4
"5_1_4",14.587839,46.359104,0.391222078182625,-1.74780732919393,0.108912233335326,5,1,4
"7_1_5",13.742368,46.441856,2.2539568306827,-1.60842868830727,0.277425571340034,7,1,5
"7_1_5",13.739093,46.44286,2.2539568306827,-1.60842868830727,0.277425571340034,7,1,5
"7_1_5",13.6871,46.466508,2.2539568306827,-1.60842868830727,0.277425571340034,7,1,5
"7_1_5",13.776762,46.444937,2.08485066277481,-1.63183203631328,0.287746815534354,7,1,5
"7_1_5",13.74358,46.433617,2.2539568306827,-1.60842868830727,0.277425571340034,7,1,5
"10_4_10",13.841063,46.244728,5.11138692121042,-0.154019966084628,2.73152416509782,10,4,10
"9_10_4",11.136108,45.704422,4.43742254499608,4.1498546731215,-0.0998263052151152,9,10,4
"9_10_4",11.13505,45.702733,4.43742254499608,4.1498546731215,-0.0998263052151152,9,10,4
"9_10_4",11.132892,45.725003,4.43742254499608,4.1498546731215,-0.0998263052151152,9,10,4
"10_2_4",14.646344,46.300678,4.78137698502403,-1.32948730759876,-0.154485061561093,10,2,4
"10_2_4",14.646525,46.300734,4.78137698502403,-1.32948730759876,-0.154485061561093,10,2,4
"3_6_3",11.730833,46.51972,-1.91255750171393,1.32156581698965,-0.595570205446173,3,6,3
"3_6_3",11.726337,46.532233,-1.91255750171393,1.32156581698965,-0.595570205446173,3,6,3
"3_6_3",11.823917,46.327864,-2.47070407867002,1.23332145985952,-0.223562323327892,3,6,3
"3_6_3",11.802548,46.304247,-2.47070407867002,1.23332145985952,-0.223562323327892,3,6,3
"3_6_3",11.710172,46.399054,-2.17931608338603,1.34649956420416,-0.435075805173316,3,6,3
"7_8_3",11.447662,45.976578,1.69725980863255,2.89634209081124,-0.641026842221359,7,8,3
"2_3_7",10.194969,47.260361,-2.73143776158835,-0.387865091113425,1.11375038208941,2,3,7
"2_5_3",11.999442,46.522533,-3.48937114552902,0.694636685470105,-0.361188648427953,2,5,3
"2_5_3",11.986703,46.532182,-3.48937114552902,0.694636685470105,-0.361188648427953,2,5,3
"2_5_3",11.848375,46.522605,-3.08817110153445,0.834577913328537,-0.415959488853794,2,5,3
"2_5_3",11.848047,46.522458,-3.08817110153445,0.834577913328537,-0.415959488853794,2,5,3
"2_5_3",11.848849,46.522594,-3.08817110153445,0.834577913328537,-0.415959488853794,2,5,3
"7_3_3",12.805581,46.765431,2.29600507306353,-0.251881140826962,-0.258871215809134,7,3,3
